[i] Train : 117266
[i] Valid : 4952
[i] pred_bboxes_op : Tensor("YOLOv3/concat:0", shape=(?, ?, 85), dtype=float32)
[i] gt_bboxes_var : Tensor("Placeholder_3:0", shape=(?, ?, 85), dtype=float32)
[i] max_iteration : 200000
[i] decay_iteration : [100000, 160000]
[i] iter : 6550, loss : 74.9453, giou_loss : 48.9136, conf_loss : 7.6754, class_loss : 14.0803, l2_reg_loss : 4.2760, train_time : 13sec
[i] iter : 6600, loss : 70.4327, giou_loss : 45.4046, conf_loss : 7.3529, class_loss : 13.3998, l2_reg_loss : 4.2754, train_time : 12sec
[i] iter : 6650, loss : 68.1745, giou_loss : 44.1411, conf_loss : 7.0520, class_loss : 12.7065, l2_reg_loss : 4.2749, train_time : 14sec
[i] iter : 6700, loss : 64.0871, giou_loss : 40.7986, conf_loss : 6.6922, class_loss : 12.3221, l2_reg_loss : 4.2743, train_time : 13sec
[i] iter : 6750, loss : 82.6830, giou_loss : 55.3610, conf_loss : 8.1513, class_loss : 14.8970, l2_reg_loss : 4.2736, train_time : 13sec
[i] iter : 6800, loss : 76.0340, giou_loss : 49.8278, conf_loss : 7.8135, class_loss : 14.1197, l2_reg_loss : 4.2730, train_time : 14sec
[i] iter : 6850, loss : 70.2906, giou_loss : 45.9599, conf_loss : 7.1480, class_loss : 12.9103, l2_reg_loss : 4.2724, train_time : 12sec
[i] iter : 6900, loss : 70.8102, giou_loss : 45.9824, conf_loss : 7.3765, class_loss : 13.1795, l2_reg_loss : 4.2718, train_time : 12sec
[i] iter : 6950, loss : 65.6260, giou_loss : 42.0948, conf_loss : 6.7758, class_loss : 12.4843, l2_reg_loss : 4.2712, train_time : 14sec
[i] iter : 7000, loss : 70.7818, giou_loss : 45.6320, conf_loss : 7.3994, class_loss : 13.4799, l2_reg_loss : 4.2705, train_time : 13sec
[i] iter : 7050, loss : 69.0765, giou_loss : 45.1996, conf_loss : 6.9437, class_loss : 12.6634, l2_reg_loss : 4.2698, train_time : 13sec
[i] iter : 7100, loss : 62.5350, giou_loss : 40.1570, conf_loss : 6.4448, class_loss : 11.6641, l2_reg_loss : 4.2691, train_time : 14sec
[i] iter : 7150, loss : 70.1456, giou_loss : 45.6266, conf_loss : 7.2543, class_loss : 12.9963, l2_reg_loss : 4.2684, train_time : 13sec
[i] iter : 7200, loss : 71.7630, giou_loss : 46.7482, conf_loss : 7.5873, class_loss : 13.1598, l2_reg_loss : 4.2677, train_time : 14sec
[i] iter : 7250, loss : 70.1032, giou_loss : 46.1085, conf_loss : 7.0993, class_loss : 12.6285, l2_reg_loss : 4.2669, train_time : 13sec
[i] iter : 7300, loss : 64.9478, giou_loss : 41.9342, conf_loss : 6.6457, class_loss : 12.1018, l2_reg_loss : 4.2661, train_time : 13sec
[i] iter : 7350, loss : 70.5664, giou_loss : 46.2395, conf_loss : 7.2616, class_loss : 12.8000, l2_reg_loss : 4.2653, train_time : 13sec
[i] iter : 7400, loss : 71.9310, giou_loss : 47.0399, conf_loss : 7.4877, class_loss : 13.1389, l2_reg_loss : 4.2645, train_time : 14sec
[i] iter : 7450, loss : 64.9525, giou_loss : 41.9069, conf_loss : 6.7259, class_loss : 12.0560, l2_reg_loss : 4.2637, train_time : 14sec
[i] iter : 7500, loss : 71.3152, giou_loss : 46.6833, conf_loss : 7.2735, class_loss : 13.0956, l2_reg_loss : 4.2628, train_time : 14sec
[i] iter : 7550, loss : 67.0231, giou_loss : 44.4872, conf_loss : 6.5526, class_loss : 11.7214, l2_reg_loss : 4.2619, train_time : 14sec
[i] iter : 7600, loss : 69.0257, giou_loss : 45.1746, conf_loss : 7.0420, class_loss : 12.5481, l2_reg_loss : 4.2610, train_time : 14sec
[i] iter : 7650, loss : 69.8754, giou_loss : 46.2086, conf_loss : 7.0523, class_loss : 12.3543, l2_reg_loss : 4.2601, train_time : 13sec
[i] iter : 7700, loss : 65.7004, giou_loss : 42.8210, conf_loss : 6.6969, class_loss : 11.9233, l2_reg_loss : 4.2592, train_time : 14sec
[i] iter : 7750, loss : 76.5734, giou_loss : 51.0281, conf_loss : 7.7267, class_loss : 13.5604, l2_reg_loss : 4.2583, train_time : 12sec
